0,ling4
情趣用品,cing4 ceoi3 jung6 ban2
情迷,cing4 mai4
惡運,ok3 wan6
情郎,cing4 long4
惡雞乸,ok3 gai1 naa2
悶雷,mun6 leoi4
惡霸,ok3 baa3
情面,cing4 min6
惠顧,wai6 gu3
惠風,wai6 fung1
惡鬼,ok3 gwai2
惡魔,ok3 mo1
惡黨,ok3 dong2
愁,sau4
愆,hin1
愉,jyu4
愉,jyu6
愊,bik1
意,ji3
愕,ngok6
愛,oi3
感,gam2
意下,ji3 haa6
意中人,ji3 zung1 jan4
愚人,jyu4 jan4
愛人,oi3 jan4
愛侶,oi3 leoi5
想像力,soeng2 zoeng6 lik6
感光紙,gam2 gwong1 zi2
愛克斯,oi3 hak1 si1
愛克斯光,oi3 hak1 si1 gwong1
愛克斯射線,oi3 hak1 si1 se6 sin3
愚公,jyu4 gung1
感冒,gam2 mou6
感受,gam2 sau6
意向,ji3 hoeng3
意向書,ji3 hoeng3 syu1
意味,ji3 mei6
感嘆號,gam2 taan3 hou6
感嘆詞,gam2 taan3 ci4
意國,ji3 gwok3
愛國主義,oi3 gwok3 zyu2 ji6
愛國心,oi3 gwok3 sam1
愛國者,oi3 gwok3 ze2
愛國賊,oi3 gwok3 caak6
意圖,ji3 tou4
意境,ji3 ging2
意外,ji3 ngoi6
意外死亡,ji3 ngoi6 sei2 mong4
意大利人,ji3 daai6 lei6 jan4
意大利冰淇淋,ji3 daai6 lei6 bing1 kei4 lam4
意大利冰淇淋,ji3 daai6 lei6 bing1 kei4 lam2
意大利文,ji3 daai6 lei6 man4
意大利文,ji3 daai6 lei6 man2
意大利粉,ji3 daai6 lei6 fan2
意大利語,ji3 daai6 lei6 jyu5
意大利飯,ji3 daai6 lei6 faan6
意大利餃,ji3 daai6 lei6 gaau2
意大利麵,ji3 daai6 lei6 min6
意大利麵條,ji3 daai6 lei6 min6 tiu4
愛夫,oi3 fu1
愛女,oi3 neoi5
愛好,oi3 hou3
愛好者,oi3 hou3 ze2
愛妻,oi3 cai1
愛子,oi3 zi2
愚孝,jyu4 haau3
感官,gam2 gun1
愁容,sau4 jung4
愛將,oi3 zoeng3
愆尤,hin1 jau4
愛巢,oi3 caau4
意底牢結,ji3 dai2 lou4 git3
愛心,oi3 sam1
意志,ji3 zi3
意志力,ji3 zi3 lik6
意念,ji3 nim6
愚忠,jyu4 zung1
惰性,do6 sing3
愁思,sau4 si1
意思,ji3 si3
意思,ji3 si1
感性,gam2 sing3
感性認識,gam2 sing3 jing6 sik1
愛恨,oi3 han6
感恩經,gam2 jan1 ging1
感悟,gam2 ng6
愁悶,sau4 mun6
愛情,oi3 cing4
感情,gam2 cing4
愛情動作片,oi3 cing4 dung6 zok3 pin2
愛情片,oi3 cing4 pin2
愛情生活,oi3 cing4 sang1 wut6
意愛,ji3 oi3
愚意,jyu4 ji3
愛意,oi3 ji3
感想,gam2 soeng2
愛慾,oi3 juk6
愛憎,oi3 zang1
感應,gam2 jing3
感應器,gam2 jing3 hei3
感懷,gam2 waai4
愛戴,oi3 daai3
愛撫,oi3 fu2
愛斯基摩-阿留申語系,oi3 si1 gei1 mo1 aa3 lau4 san1 jyu5 hai6
愛斯基摩人,oi3 si1 gei1 mo1 jan4
愛斯基摩語,oi3 si1 gei1 mo1 jyu5
意旨,ji3 zi2
愚昧,jyu4 mui6
感染力,gam2 jim5 lik6
感染者,gam2 jim5 ze2
愛死病,oi3 sei2 beng6
愚民,jyu4 man4
愚民政策,jyu4 man4 zing3 caak3
愚氓,jyu4 man4
意氣,ji3 hei3
愛沙尼亞人,oi3 saa1 nei4 aa3 jan4
想法,soeng2 faat3
愛河,oi3 ho4
意涵,ji3 haam4
愛滋,oi3 zi1
愛滋病,oi3 zi1 beng6
愛滋病毒,oi3 zi1 beng6 duk6
愛爾蘭人,oi3 ji5 laan4 jan4
愛爾蘭咖啡,oi3 ji5 laan4 gaa3 fe1
愛爾蘭語,oi3 ji5 laan4 jyu5
愛爾蘭雪達,oi3 ji5 laan4 syut3 daat6
愛犬,oi3 hyun2
愛瘋,oi3 fung1
愁眉,sau4 mei4
感知,gam2 zi1
愛稱,oi3 cing1
意符,ji3 fu4
意第緒語,ji1 dai6 seoi5 jyu5
愛筵,oi3 jin4
意粉,ji3 fan2
愁緒,sau4 seoi5
意義,ji3 ji6
愚者,jyu4 ze2
愁腸,sau4 coeng4
意興,ji3 hing3
感興,gam2 hing3
愁苦,sau4 fu2
意蘊,ji3 wan2
愚蠢,jyu4 ceon2
意見,ji3 gin3
愚見,jyu4 gin3
意見欄,ji3 gin3 laan4
意見箱,ji3 gin3 soeng1
感覺,gam2 gok3
感覺神經元,gam2 gok3 san4 ging1 jyun4
感觸,gam2 zuk1
感謝信,gam2 ze6 seon3
意識,ji3 sik1
意識形態,ji3 sik1 jing4 taai3
意識流,ji3 sik1 lau4
意譯,ji3 jik6
愛豆,oi3 dau2
意象,ji3 zoeng6
想象力,soeng2 zoeng6 lik6
愛貓,oi3 maau1
意趣,ji3 ceoi3
愆過,hin1 gwo3
想頭,soeng2 tau4
意頭,ji3 tau4
意願,ji3 jyun6
愛鳥,oi3 niu5
意麵,ji3 min6
愨,kok3
愰,jiu6
愷,hoi2
愾,koi3
愿,jyun6
慀,hai6
慈,ci4
慉,zuk6
態,taai3
慌亂,fong1 lyun6
態勢,taai3 sai3
慈善家,ci4 sin6 gaa1
慈善機構,ci4 sin6 gei1 kau3
慈善機構,ci4 sin6 gei1 gau3
慈姑,ci4 gu1
慈姑椗,ci4 gu1 ding3
態射,taai3 se6
態度,taai3 dou6
慈愛,ci4 oi3
態樣,taai3 joeng6
慈母,ci4 mou5
慈母心,ci4 mou5 sam1
慈烏,ci4 wu1
慈父,ci4 fu6
慈繩愛索,ci4 sing4 oi3 sok3
愧色,kwai3 sik1
慍色,wan3 sik1
慈鳥,ci4 niu5
慣,gwaan3
慧,wai6
慧,wai3
慳,haan1
慶,hing3
慸,dai3
慾,juk6
憀,liu4
憂,jau1
慘事,caam2 si6
慣例,gwaan3 lai6
慶典,hing3 din2
慘劇,caam2 kek6
慶功宴,hing3 gung1 jin3
慢動作,maan6 dung6 zok3
慢化劑,maan6 faa3 zai1
慰問品,wai3 man6 ban2
慰問電,wai3 man6 din6
慘境,caam2 ging2
慰安婦,wai3 on1 fu5
慧心,wai6 sam1
憂心,jau1 sam1
慾念,juk6 nim6
慣性,gwaan3 sing3
慣性力,gwaan3 sing3 lik6
慢性子,maan6 sing3 zi2
慢性支氣管炎,maan6 sing3 zi1 hei3 gun2 jim4
慢性病,maan6 sing3 beng6
慢性阻塞性肺病,maan6 sing3 zo2 sak1 sing3 fai3 beng6
憂患,jau1 waan6
慢搖,maan6 jiu4
慕斯,mou6 si1
慕斯,mou3 si1
慘景,caam2 ging2
慾望,juk6 mong6
慢板,maan6 baan2
慘案,caam2 on3
慧根,wai6 gan1
慢步,maan6 bou6
慢火,maan6 fo2
慾火,juk6 fo2
慢燉鍋,maan6 dan6 wo1
慘片,caam2 pin2
慣犯,gwaan3 faan2
慘狀,caam2 zong6
慢班,maan6 baan1
慶生會,hing3 sang1 wui2
慣用語,gwaan3 jung6 jyu5
慢病,maan6 beng6
慧眼,wai6 ngaan5
慘禍,caam2 wo6
慣竊,gwaan3 sit3
慢線,maan6 sin3
慣習,gwaan3 zaap6
慚色,caam4 sik1
慰藉,wai3 zik6
慘變,caam2 bin3
慘象,caam2 zoeng6
慢車,maan6 ce1
慕道友,mou6 dou6 jau5
慕道者,mou6 dou6 ze2
慢鏡,maan6 geng3
慢阻肺,maan6 zo2 fai3
慶雲,hing3 wan4
慳電膽,haan1 din6 daam2
憂鬱,jau1 wat1
憂鬱症,jau1 wat1 zing3
憑,pang4
憕,cing4
憝,deoi6
憡,caak3
憣,faan1
憥,lou4
憲,hin3
憑信,pang4 seon3
憑借,pang4 ze3
憲兵,hin3 bing1
憲兵隊,hin3 bing1 deoi2
憑單,pang4 daan1
憨子,ham1 zi2
憩室,hei3 sat1
憩室炎,hei3 sat1 jim4
憩室症,hei3 sat1 zing3
憤怒青年,fan5 nou6 cing1 nin4
憎恨,zang1 han6
憧憬,cung1 ging2
憑據,pang4 geoi3
憲政,hin3 zing3
憲法,hin3 faat3
憲法法院,hin3 faat3 faat3 jyun2
憎稱,zang1 cing1
憑證,pang4 zing3
憤青,fan5 cing1
憲章,hin3 zoeng1
憶,jik1
憹,nou4
憹,lou4
憼,ging2
憾,ham6
懎,sik1
應付帳款,jing1 fu6 zoeng3 fun2
應召女郎,jing3 ziu6 neoi5 long4
應收帳款,jing3 sau1 zoeng3 fun2
應收款,jing3 sau1 fun2
應用,jing3 jung6
應用數學,jing3 jung6 sou3 hok6
應用科學,jing3 jung6 fo1 hok6
應用程序,jing3 jung6 cing4 zeoi6
應用程式,jing3 jung6 cing4 sik1
應用統計學,jing3 jung6 tung2 gai3 hok6
應用經濟學,jing3 jung6 ging1 zai3 hok6
應用藝術,jing3 jung6 ngai6 seot6
應用語言學,jing3 jung6 jyu5 jin4 hok6
應納稅收入,jing1 naap6 seoi3 sau1 jap6
憶記,jik1 gei3
應變,jing3 bin3
應酬,jing3 cau4
懇願,han2 jyun6
應鼓,jing3 gu2
應龍,jing3 lung4
㦠,deoi6
懙,jyu5
懥,zi3
懦夫,no6 fu1
懲役,cing4 jik6
懲罰,cing4 fat6
懲罰性,cing4 fat6 sing3
懷,waai4
懶人,laan5 jan4
懶人包,laan5 jan4 baau1
懶人鐘,laan5 jan4 zung1
懵佬,mung2 lou2
懶佬,laan5 lou2
懶佬鞋,laan5 lou2 haai4
懷古,waai4 gu2
懸壅垂,jyun4 jung2 seoi4
懸崖,jyun4 ngaai4
懸念,jyun4 nim6
懶惰蟲,laan5 do6 cung4
懷抱,waai4 pou5
懸掛,jyun4 gwaa3
懸案,jyun4 on3
懶漢,laan5 hon3
懸濁液,jyun4 zuk6 jik6
懸疑,jyun4 ji4
懸疑片,jyun4 ji4 pin2
懷疑論,waai4 ji4 leon6
懶腰,laan5 jiu1
懶蛋,laan5 daan2
懶蟲,laan5 cung4
懷裡,waai4 leoi5
懶覺,laan5 gaau3
懶豬,laan5 zyu1
懸鉤子,jyun4 ngau1 zi2
懷錶,waai4 biu1
懸雍垂,jyun4 jung1 seoi4
懶音,laan5 jam1
懶骨頭,laan5 gwat1 tau4
懶鬼,laan5 gwai2
懺悔禮,caam3 fui3 lai5
懿旨,ji3 zi2
懿行,ji3 hang6
戀人,lyun2 jan4
戀屍癖,lyun2 si1 pik1
戀情,lyun2 cing4
戀愛,lyun2 oi3
戀曲,lyun2 kuk1
戀歌,lyun2 go1
戀母情結,lyun2 mou5 cing4 git3
戀物,lyun2 mat6
戀物癖,lyun2 mat6 pik1
戀獸癖,lyun2 sau3 pik1
戀童,lyun2 tung4
戀童癖,lyun2 tung4 pik1
戀聲癖,lyun2 sing1 pik1
戀舊,lyun2 gau6
戀鞋,lyun2 haai4
戀鞋癖,lyun2 haai4 pik1
戄,fok3
戇居仔,ngong6 geoi1 zai2
戇鳩,ngong6 gau1
戈,gwo1
戈比,gwo1 bei2
戉,jyut6
戊,mou6
戊二烯,mou6 ji6 hei1
戊午,mou6 ng5
戊型肝炎,mou6 jing4 gon1 jim4
戊基,mou6 gei1
戊夜,mou6 je6
戊子,mou6 zi2
戊寅,mou6 jan4
戊戌,mou6 seot1
戊炔,mou6 kyut3
戊烯,mou6 hei1
戊烷,mou6 jyun4
戊烷,mou6 jyun2
戊申,mou6 san1
戊糖,mou6 tong4
戊辰,mou6 san4
戊酮,mou6 tung4
戊酸,mou6 syun1
戊醇,mou6 seon4
戊醛,mou6 cyun4
戌,seot1
成,sing4
成,seng4
成,cing4
成世,seng4 sai3
成世,sing4 sai3
成世人,seng4 sai3 jan4
成事,sing4 si6
成交量,sing4 gaau1 loeng6
成交額,sing4 gaau1 ngaak2
成人,sing4 jan4
成人電影,sing4 jan4 din6 jing2
成例,sing4 lai6
成分,sing4 fan6
成功,sing4 gung1
成功率,sing4 gung1 leot2
成功神學,sing4 gung1 san4 hok6
戍卒,syu3 zeot1
成命,sing4 ming6
成品,sing4 ban2
成員,sing4 jyun4
成員國,sing4 jyun4 gwok3
成嚿飯,seng4 gau6 faan6
成因,sing4 jan1
成天,seng4 tin1
成就,sing4 zau6
成就感,sing4 zau6 gam2
成年,sing4 nin4
成年人,sing4 nin4 jan4
成年儀式,sing4 nin4 ji4 sik1
成年禮,sing4 nin4 lai5
成年者,sing4 nin4 ze2
成心,sing4 sam1
成效,sing4 haau6
成敗,sing4 baai6
成教,sing4 gaau3
成數,sing4 sou3
成文,sing4 man4
成文化,sing4 man4 faa3
成文法,sing4 man4 faat3
成日,seng4 jat6
成日,sing4 jat6
戌時,seot1 si4
成書,sing4 syu1
成本,sing4 bun2
成村人,seng4 cyun1 jan4
成果,sing4 gwo2
戎機,jung4 gei1
成熟分裂,sing4 suk6 fan1 lit6
成熟期,sing4 suk6 kei4
成癮性,sing4 jan5 sing3
成績,sing4 zik1
成績單,sing4 zik1 daan1
成績表,sing4 zik1 biu2
成纖維細胞,sing4 cim1 wai4 sai3 baau1
成義,sing4 ji6
成肌細胞,sing4 gei1 sai3 baau1
成色,sing4 sik1
成藥,sing4 joek6
戎行,jung4 hang4
戎衣,jung4 ji1
成衣,sing4 ji1
戎裝,jung4 zong1
成見,sing4 gin3
成規,sing4 kwai1
成語,sing4 jyu5
成語學,sing4 jyu5 hok6
成語接龍,sing4 jyu5 zip3 lung4
成身,seng4 san1
成長率,sing4 zoeng2 leot2
成骨細胞,sing4 gwat1 sai3 baau1
成體,sing4 tai2
戒,gaai3
戒嚴令,gaai3 jim4 ling6
我國,ngo5 gwok3
戒律,gaai3 leot6
戒心,gaai3 sam1
戒指,gaai3 zi2
我方,ngo5 fong1
戒毒所,gaai3 duk6 so2
戒牒,gaai3 dip6
我軍,ngo5 gwan1
㦰,cim1
戔,zin1
戕,coeng4
或,waak6
或然率,waak6 jin4 leot2
或者,waak6 ze2
或體,waak6 tai2
戚,cik1
戛,aat3
戛,gaat3
戜,dit6
戚友,cik1 jau5
戚誼,cik1 ji4
戚誼,cik1 ji6
戟,gik1
戠,zik1
戣,kwai4
戥,dang2
戥,dang6
戥子,dang2 zi2
戩,zin2
截,zit6
截圖,zit6 tou4
截屏,zit6 ping4
截拳道,zit6 kyun4 dou6
截止日期,zit6 zi2 jat6 kei4
截痕,zit6 han4
截距,zit6 keoi5
截面,zit6 min6
戮屍,luk6 si1
戰,zin3
戰亂,zin3 lyun6
戰事,zin3 si6
戰俘,zin3 fu1
戰備,zin3 bei6
戰具,zin3 geoi6
戰列艦,zin3 lit6 laam6
戰利品,zin3 lei6 ban2
戰力,zin3 lik6
戰功,zin3 gung1
戰勝國,zin3 sing3 gwok3
戰區,zin3 keoi1
戰友,zin3 jau5
戰國策,zin3 gwok3 caak3
戰地,zin3 dei6
戰場,zin3 coeng4
戰壕,zin3 hou4
戰士,zin3 si6
戰局,zin3 guk6
戰幕,zin3 mok6
戰役,zin3 jik6
戰心,zin3 sam1
戰敗國,zin3 baai6 gwok3
戰斧,zin3 fu2
戰旗,zin3 kei4
戰時,zin3 si4
戰果,zin3 gwo2
戰機,zin3 gei1
戰歌,zin3 go1
戰況,zin3 fong3
戰法,zin3 faat3
戰火,zin3 fo2
戰爭,zin3 zang1
戰爭片,zin3 zang1 pin2
戰爭罪,zin3 zang1 zeoi6
戰犯,zin3 faan2
戰狼,zin3 long4
戰狼外交,zin3 long4 ngoi6 gaau1
戰略,zin3 loek6
戰略伙伴,zin3 loek6 fo2 bun6
戰略性,zin3 loek6 sing3
戰疫,zin3 jik6
戰禍,zin3 wo6
戰線,zin3 sin3
戰績,zin3 zik1
戰船,zin3 syun4
戰艦,zin3 laam6
戰術,zin3 seot6
戰車,zin3 ce1
戰陣,zin3 zan6
戰隊,zin3 deoi6
戰鬥,zin3 dau3
戰鬥力,zin3 dau3 lik6
戰鬥機,zin3 dau3 gei1
戰鬥民族,zin3 dau3 man4 zuk6
戰鬥者,zin3 dau3 ze2
戲,hei3
戲份,hei3 fan6
戲仿,hei3 fong2
戲劇,hei3 kek6
戲劇家,hei3 kek6 gaa1
戲劇性,hei3 kek6 sing3
戲劇界,hei3 kek6 gaai3
戴勝,daai3 sing3
戲子,hei3 zi2
戲子佬,hei3 zi2 lou2
戲文,hei3 man4
戲曲,hei3 kuk1
戲服,hei3 fuk6
戲本,hei3 bun2
戲棚,hei3 paang4
戲法,hei3 faat3
戲班,hei3 baan1
戲眼,hei3 ngaan5
戲碼,hei3 maa5
戲稱,hei3 cing1
戲箱,hei3 soeng1
戲肉,hei3 juk2
戲臺,hei3 toi4
戲裝,hei3 zong1
戲詞,hei3 ci4
戲迷,hei3 mai4
戲院,hei3 jyun2
戳,coek3
戳,cok3
戳,zoek3
戵,keoi4
戶,wu6
戶主,wu6 zyu2
戶口,wu6 hau2
戶口冊,wu6 hau2 caak3
戶口本,wu6 hau2 bun2
戶口簿,wu6 hau2 bou2
戶型,wu6 jing4
戶外,wu6 ngoi6
戶字頭,wu6 zi6 tau4
戶戶,wu6 wu6
戶政,wu6 zing3
戶籍,wu6 zik6
戶限,wu6 haan6
戶頭,wu6 tau4
戺,si6
㦿,haam2
戾,leoi6
戾,lai6
戾,lit6
房,fong4
房,fong2
所,so2
房主,fong4 zyu2
房事,fong4 si6
所以,so2 ji5
所以然,so2 ji5 jin4
房卡,fong2 kaat1
所及,so2 kap6
房地,fong4 dei6
所在,so2 zoi6
所在地,so2 zoi6 dei6
房地產,fong4 dei6 caan2
房基,fong4 gei1
房契,fong4 kai3
房奴,fong4 nou4
房子,fong4 zi2
房客,fong4 haak3
房室,fong4 sat1
房室束,fong4 sat1 cuk1
房室結,fong4 sat1 git3
房室缺,fong4 sat1 kyut3
房室間隔,fong4 sat1 gaan3 gaak3
房室間隔缺損,fong4 sat1 gaan3 gaak3 kyut3 syun2
房屋,fong4 uk1
房市,fong4 si5
所得,so2 dak1
所得稅,so2 dak1 seoi3
房性,fong4 sing3
房性早搏,fong4 sing3 zou2 bok3
所指,so2 zi2
戽斗,fu3 dau2
戽斗邊,fu3 dau2 bin1
所料,so2 liu6
所有,so2 jau5
所有人,so2 jau5 jan4
所有制,so2 jau5 zai3
所有格,so2 jau5 gaak3
所有權,so2 jau5 kyun4
所有者,so2 jau5 ze2
房東,fong4 dung1
房樑,fong4 loeng4
房檐,fong4 jim4
房檐兒,fong4 jim4 ji4
房水,fong4 seoi2
所為,so2 wai4
戾狗邊,lai2 gau2 bin1
房產,fong4 caan2
房產證,fong4 caan2 zing3
所知,so2 zi1
房租,fong4 zou1
房租,fong2 zou1
房管局,fong4 gun2 guk6
房缺,fong4 kyut3
房脊,fong4 zek3
房舍,fong4 se3
房號,fong2 hou6
房角石,fong4 gok3 sek6
房貸,fong4 taai3
房費,fong4 fai3
房貼,fong4 tip3
房車,fong2 ce1
房速,fong4 cuk1
房錢,fong4 cin2
所長,so2 zoeng2
房門,fong2 mun4
房間,fong4 gaan1
房間隔,fong4 gaan3 gaak3
房間隔缺損,fong4 gaan3 gaak3 kyut3 syun2
所需,so2 seoi1
房頂,fong4 deng2
房顫,fong4 zin3
扁,bin2
扂,dim3
扃,gwing1
扃,gwing2
扁實檸檬,bin2 sat6 ning4 mung1
扁平足,bin2 ping4 zuk1
扁形動物,bin2 jing4 dung6 mat6
扁擔,bin2 daam3
扁桃,bin2 tou4
扁桃腺,bin2 tou4 sin3
扁桃腺炎,bin2 tou4 sin3 jim4
扁桃體,bin2 tou4 tai2
扁桃體炎,bin2 tou4 tai2 jim4
扁舟,pin1 zau1
扁舵鰹,bin2 to4 gin1
扁蝨,bin2 sat1
扁豆,bin2 dau6
扁食,bin2 sik6
扁骨,bin2 gwat1
扁魚,bin2 jyu2
扄,soeng2
扅,ji4
扇,sin3
扇區,sin3 keoi1
扇子,sin3 zi2
扇形,sin3 jing4
扇葉,sin3 jip2
扇貝,sin3 bui3
扇車,sin3 ce1
扇面琴,sin3 min6 kam4
扈,wu6
扈從,wu6 cung4
扉,fei1
扊,jim5
扉頁,fei1 jip6
手,sau2
才,coi4
手下,sau2 haa6
手交,sau2 gaau1
手仔,sau2 zai2
手令,sau2 ling6
手作仔,sau2 zok3 zai2
手信,sau2 seon3
才俊,coi4 zeon3
手冊,sau2 caak3
才分,coi4 fan6
手剎,sau2 saat3
手剎車,sau2 saat3 ce1
才力,coi4 lik6
手動,sau2 dung6
手動變速器,sau2 dung6 bin3 cuk1 hei3
手勢,sau2 sai3
手包,sau2 baau1
手印,sau2 jan3
手套,sau2 tou3
才女,coi4 neoi2
才子,coi4 zi2
才子佳人,coi4 zi2 gaai1 jan4
才學,coi4 hok6
手尾,sau2 mei5
手工,sau2 gung1
手工業,sau2 gung1 jip6
手工藝,sau2 gung1 ngai6
手工藝品,sau2 gung1 ngai6 ban2
手巴掌,sau2 baa1 zoeng2
手巾,sau2 gan1
手巾仔,sau2 gan1 zai2
手帕,sau2 paak3
手帖,sau2 tip3
手帳,sau2 zoeng3
才幹,coi4 gon3
手式,sau2 sik1
才德,coi4 dak1
手心,sau2 sam1
手性,sau2 sing3
才思,coi4 si1
手感,sau2 gam2
手扣,sau2 kau3
手把,sau2 baa2
手抄本,sau2 caau1 bun2
手拉車,sau2 laai1 ce1
手指,sau2 zi2
手指公,sau2 zi2 gung1
手指尾,sau2 zi2 mei1
手指模,sau2 zi2 mou4
手指甲,sau2 zi2 gaap3
手指罅,sau2 zi2 laa3
手指頭,sau2 zi2 tau4
手捲,sau2 gyun2
手掌,sau2 zoeng2
手排,sau2 paai4
手掣,sau2 zai3
手掌心,sau2 zoeng2 sam1
手推車,sau2 teoi1 ce1
手提,sau2 tai4
手提包,sau2 tai4 baau1
手提箱,sau2 tai4 soeng1
手提計算機,sau2 tai4 gai3 syun3 gei1
手提電腦,sau2 tai4 din6 nou5
手提電話,sau2 tai4 din6 waa2
手搖風琴,sau2 jiu4 fung1 kam4
手斧,sau2 fu2
才智,coi4 zi3
手書,sau2 syu1
手本,sau2 bun2
手杖,sau2 zoeng6
手板,sau2 baan2
手柄,sau2 beng3
手槍,sau2 coeng1
手榴彈,sau2 lau4 daan2
手模,sau2 mou4
手機,sau2 gei1
手機卡,sau2 gei1 kaat1
手機殼,sau2 gei1 hok3
手機膜,sau2 gei1 mok2
手段,sau2 dyun6
手民,sau2 man4
手氣,sau2 hei3
才氣,coi4 hei3
手汗,sau2 hon6
手法,sau2 faat3
手波,sau2 bo1
手爐,sau2 lou4
手爪,sau2 zaau2
手球,sau2 kau4
手環,sau2 waan4
手瓜,sau2 gwaa1
手甲,sau2 gaap3
手甲冥,sau2 gaap3 meng4
才略,coi4 loek6
手癬,sau2 sin2
手相,sau2 soeng3
手眼,sau2 ngaan5
手稿,sau2 gou2
手筆,sau2 bat1
手籠,sau2 lung4
手紋,sau2 man4
手紙,sau2 zi2
手絹,sau2 gyun3
手續,sau2 zuk6
手續費,sau2 zuk6 fai3
手肘,sau2 zau2
手背,sau2 bui3
才能,coi4 nang4
手脖子,sau2 but6 zi2
手㬹,sau2 zaang1
手腕,sau2 wun2
手腕兒,sau2 wun2 ji4
手腕子,sau2 wun2 zi2
手腳,sau2 goek3
手臂,sau2 bei3
才色,coi4 sik1
才華,coi4 waa4
手藝,sau2 ngai6
才藝,coi4 ngai6
手藝人,sau2 ngai6 jan4
手術,sau2 seot6
手術刀,sau2 seot6 dou1
手術室,sau2 seot6 sat1
手術服,sau2 seot6 fuk6
手術臺,sau2 seot6 toi2
手袋,sau2 doi2
手袖,sau2 zau6
手裡劍,sau2 leoi5 gim3
手襪,sau2 mat6
手襪,sau2 mat2
手記,sau2 gei3
手語,sau2 jyu5
才調,coi4 diu6
手諭,sau2 jyu6
才識,coi4 sik1
才貌,coi4 maau6
才賦,coi4 fu3
手足,sau2 zuk1
手足口病,sau2 zuk1 hau2 beng6
手跡,sau2 zik1
手車,sau2 ce1
手辦,sau2 baan2
手邊,sau2 bin1
手部,sau2 bou6
手鈪,sau2 aak2
手銬,sau2 kaau3
手鋸,sau2 goe3
手錶,sau2 biu1
手鏈,sau2 lin2
手鐐,sau2 liu4
手鐲,sau2 zuk6
手閘,sau2 zaap6
手雷,sau2 leoi4
手電,sau2 din6
手電筒,sau2 din6 tung2
手面,sau2 min6
手靿,sau2 aau3
手頭,sau2 tau4
手風琴,sau2 fung1 kam4
手骨,sau2 gwat1
手骹,sau2 gaau3
手鼓,sau2 gu2
扎肉,zaat3 juk6
扑,pok3
扒,baat3
打,daa2
打仔,daa2 zai2
打令,daa2 ling6
打冷,daa2 laang1
打南磨,daa2 naam4 mo4
打南磨,daa2 naam4 mo2
打印機,daa2 jan3 gei1
打吡,daa2 bei2
打孔器,daa2 hung2 hei3
打孔機,daa2 hung2 gei1
打字員,daa2 zi6 jyun4
打字機,daa2 zi6 gei1
打尖,daa2 zim1
打屎窟,daa2 si2 fat1
打工仔,daa2 gung1 zai2
打工妹,daa2 gung1 mui1
打工皇帝,daa2 gung1 wong4 dai3
打平,daa2 ping4
打底褲,daa2 dai2 fu3
打後,daa2 hau6
扒房,paa2 fong4
扒手,paa4 sau2
打手,daa2 sau2
扑批,bok1 pai1
打扮,daa2 baan6
打拆,daa2 caak3
打擊,daa2 gik1
打擊樂器,daa2 gik1 ngok6 hei3
打擾,daa2 jiu2
打擾,daa2 jiu5
打樁機,daa2 zong1 gei1
打橫,daa2 waang4
打櫼,daa2 zim1
打比,daa2 bei2
打氣筒,daa2 hei3 tung2
打法,daa2 faat3
打油詩,daa2 jau4 si1
打火機,daa2 fo2 gei1
打火石,daa2 fo2 sek6
打穀場,daa2 guk1 coeng4
打窿機,daa2 lung1 gei1
打算,daa2 syun3
打簿機,daa2 bou2 gei1
打荷,daa2 ho4
打蘭,daa2 laan4
打赤肋,daa2 cek3 laak3
打赤肋,daa2 cek3 laak6
打鐵佬,daa2 tit3 lou2
打鐵師傅,daa2 tit3 si1 fu2
打靶鬼,daa2 baa2 gwai2
打魚佬,daa2 jyu4 lou2
打點,daa2 dim2
托,tok3
扜,jyu1
扞,hon2
扞,hon6
扣,kau3
扦,cin1
托兒,tok3 ji4
托兒所,tok3 ji4 so2
扣分,kau3 fan1
托卡馬克,tok3 kaa1 maa5 hak1
扣子,kau3 zi2
扦子,cin1 zi2
托拉爾,tok3 laai1 ji5
托架,tok3 gaa2
托派,tok3 paai3
托洛斯基派,tok3 lok6 si1 gei1 paai3
托盤,tok3 pun2
扣眼,kau3 ngaa5
托福,tok3 fuk1
扣肉,kau3 juk6
扣襻,kau3 paan3
托運人,tok3 wan6 jan4
扣針,kau3 zam1
扶,fu4
批,pai1
扻,zit3
扼,ak1
扼,aak1
技,gei6
抂,kong4
抂,kwong4
把,baa2
把,baa3
抐,leot6
抐,neot6
折,zit3
扳不倒兒,paan1 bat1 dou2 ji4
扶乩,fu4 gei1
扶他,fu4 taa1
批件,pai1 gin2
抄件,caau1 gin2
把位,baa2 wai2
投保人,tau4 bou2 jan4
折光,zit3 gwong1
投入,tau4 jap6
抗凝劑,kong3 jing4 zai1
批判,pai1 pun3
抗利尿激素,kong3 lei6 niu6 gik1 sou3
批判性,pai1 pun3 sing3
批判性思維,pai1 pun3 sing3 si1 wai4
抑制劑,jik1 zai3 zai1
抑制素,jik1 zai3 sou3
扭力,nau2 lik6
抗力,kong3 lik6
承包人,sing4 baau1 jan4
承包商,sing4 baau1 soeng1
折半,zit3 bun3
抗原,kong3 jyun4
抗原決定簇,kong3 jyun4 kyut3 ding6 cuk1
投向,tau4 hoeng3
投壺,tau4 wu2
扳子,baan2 zi2
扳子,baan1 zi2
扳子,paan1 zi2
把子,baa2 zi2
投子,tau4 zi2
把家,baa2 gaa1
